Systematic Name,Standard Name,Sgd Alias,Description,gene_link
YMR287C,DSS1,exoribonuclease II|MSU1,3'-5' exoribonuclease; component of the mitochondrial degradosome along with the ATP-dependent RNA helicase Suv3p; the degradosome associates with the ribosome and mediates turnover of aberrant or unprocessed RNAs,<a href='https://www.yeastgenome.org/locus/YMR287C' target='_blank'>YMR287C</a>
YMR288W,HSH155,U2 snRNP complex subunit HSH155,U2-snRNP associated splicing factor; forms extensive associations with the branch site-3' splice site-3' exon region upon prespliceosome formation; similarity to the mammalian U2 snRNP-associated splicing factor SAP155,<a href='https://www.yeastgenome.org/locus/YMR288W' target='_blank'>YMR288W</a>
YMR289W,ABZ2,aminodeoxychorismate lyase ABZ2,Aminodeoxychorismate lyase (4-amino-4-deoxychorismate lyase); catalyzes the third step in para-aminobenzoic acid biosynthesis; involved in folic acid biosynthesis,<a href='https://www.yeastgenome.org/locus/YMR289W' target='_blank'>YMR289W</a>
YMR290C,HAS1,ATP-dependent RNA helicase HAS1,ATP-dependent RNA helicase; involved in the biogenesis of 40S and 60S ribosome subunits; localizes to both the nuclear periphery and nucleolus; highly enriched in nuclear pore complex fractions; constituent of 66S pre-ribosomal particles,<a href='https://www.yeastgenome.org/locus/YMR290C' target='_blank'>YMR290C</a>
YMR290W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps 5' end of essential HAS1/YMR290C gene which encodes an ATP-dependent RNA helicase",<a href='https://www.yeastgenome.org/locus/YMR290W-A' target='_blank'>YMR290W-A</a>
YMR291W,TDA1,protein kinase TDA1,Protein kinase of unknown cellular role; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene; relocalizes from nucleus to cytoplasm upon DNA replication stress,<a href='https://www.yeastgenome.org/locus/YMR291W' target='_blank'>YMR291W</a>
YMR292W,GOT1, ,Homodimeric protein that is packaged into COPII vesicles; cycles between the ER and Golgi; involved in secretory transport but not directly required for aspects of transport assayed in vitro; may influence membrane composition,<a href='https://www.yeastgenome.org/locus/YMR292W' target='_blank'>YMR292W</a>
YMR293C,HER2,GEP6|glutamyl-tRNA(Gln) amidotransferase subunit HER2|LRC6|QRS1|RRG6,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; required for remodeling of ER caused by Hmg2p overexpression; similar to bacterial GatA glutamyl-tRNA amidotransferase,<a href='https://www.yeastgenome.org/locus/YMR293C' target='_blank'>YMR293C</a>
YMR294W,JNM1,INS1|PAC3,"Component of the yeast dynactin complex; consisting of Nip100p, Jnm1p, and Arp1p; required for proper nuclear migration and spindle partitioning during mitotic anaphase B",<a href='https://www.yeastgenome.org/locus/YMR294W' target='_blank'>YMR294W</a>
YMR294W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; substantially overlaps YMR295C; deletion causes sensitivity to unfolded protein response-inducing agents",<a href='https://www.yeastgenome.org/locus/YMR294W-A' target='_blank'>YMR294W-A</a>
YMR295C, ,IBI2,"Protein of unknown function that associates with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud; not an essential gene; protein abundance increases in response to DNA replication stress; YMR295C has a paralog, YGR273C, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YMR295C' target='_blank'>YMR295C</a>
YMR296C,LCB1,END8|serine C-palmitoyltransferase LCB1|TSC2,"Component of serine palmitoyltransferase; responsible along with Lcb2p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine",<a href='https://www.yeastgenome.org/locus/YMR296C' target='_blank'>YMR296C</a>
YMR297W,PRC1,carboxypeptidase C PRC1|CPY|CPY1|LBC1,"Vacuolar carboxypeptidase Y (proteinase C, CPY); broad-specificity C-terminal exopeptidase involved in non-specific protein degradation in the vacuole; involved, along with functional homolog Prc1p, in vacuolar zymogen activation, breakdown of the autophagic body, and autophagosome-dependent protein synthesis; role in phytochelatin synthesis; localizes to the vacuole lumen; member of the serine carboxypeptidase family; N-glycosylated",<a href='https://www.yeastgenome.org/locus/YMR297W' target='_blank'>YMR297W</a>
YMR298W,LIP1,sphingosine N-acyltransferase subunit LIP1,"Ceramide synthase subunit; single-span ER membrane protein associated with Lag1p and Lac1p and required for ceramide synthase activity, null mutant grows extremely slowly and is defective in ceramide synthesis",<a href='https://www.yeastgenome.org/locus/YMR298W' target='_blank'>YMR298W</a>
YMR299C,DYN3,dynein light intermediate chain,"Dynein light intermediate chain (LIC); localizes with dynein, null mutant is defective in nuclear migration",<a href='https://www.yeastgenome.org/locus/YMR299C' target='_blank'>YMR299C</a>
YMR300C,ADE4,amidophosphoribosyltransferase,Phosphoribosylpyrophosphate amidotransferase (PRPPAT); catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway; also known as amidophosphoribosyltransferase,<a href='https://www.yeastgenome.org/locus/YMR300C' target='_blank'>YMR300C</a>
YMR301C,ATM1,ATP-binding cassette Fe/S cluster precursor transporter ATM1,Mitochondrial inner membrane ATP-binding cassette (ABC) transporter; exports mitochondrially synthesized precursors of iron-sulfur (Fe/S) clusters to the cytosol; human homolog ABCB7 can complement yeast null mutant,<a href='https://www.yeastgenome.org/locus/YMR301C' target='_blank'>YMR301C</a>
YMR302C,YME2,PRP12|RNA12,Integral inner mitochondrial membrane protein; role in maintaining mitochondrial nucleoid structure and number; mutants exhibit an increased rate of mitochondrial DNA escape; shows some sequence similarity to exonucleases,<a href='https://www.yeastgenome.org/locus/YMR302C' target='_blank'>YMR302C</a>
YMR303C,ADH2,ADR2|alcohol dehydrogenase ADH2,Glucose-repressible alcohol dehydrogenase II; catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1,<a href='https://www.yeastgenome.org/locus/YMR303C' target='_blank'>YMR303C</a>
YMR304C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps 3' end of verified ORF SCW10/YMR305C",<a href='https://www.yeastgenome.org/locus/YMR304C-A' target='_blank'>YMR304C-A</a>
YMR304W,UBP15,ubiquitin-specific protease UBP15,"Ubiquitin-specific protease involved in protein deubiquitination; forms a complex with AAA peroxins Pex1p and Pex6p; deubiquitinates mono- and polyubiquitinated forms of Pex5p; deubiquitinates Clb5p, counteracting APC activity, and facilitating both Clb5p accumulation and S phase entry; physically interacts with anaphase-promoting complex/cyclosome (APC/C) activator, Cdh1p; catalytic activity regulated by an N-terminal TRAF-like domain and and C-terminal sequences",<a href='https://www.yeastgenome.org/locus/YMR304W' target='_blank'>YMR304W</a>
YMR305C,SCW10,putative family 17 glucosidase,"Cell wall protein with similarity to glucanases; may play a role in conjugation during mating based on mutant phenotype and its regulation by Ste12p; SWC10 has a paralog, SCW4, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YMR305C' target='_blank'>YMR305C</a>
YMR306C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps 3' end of ORF FKS3/YMR306W",<a href='https://www.yeastgenome.org/locus/YMR306C-A' target='_blank'>YMR306C-A</a>
YMR306W,FKS3,"putative 1,3-beta-D-glucan synthase","Protein involved in spore wall assembly; has similarity to 1,3-beta-D-glucan synthase catalytic subunits Fks1p and Gsc2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",<a href='https://www.yeastgenome.org/locus/YMR306W' target='_blank'>YMR306W</a>
YMR307C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the verified gene GAS1/YMR307W",<a href='https://www.yeastgenome.org/locus/YMR307C-A' target='_blank'>YMR307C-A</a>
YMR307W,GAS1,"1,3-beta-glucanosyltransferase GAS1|CWH52|GGP1","Beta-1,3-glucanosyltransferase required for cell wall assembly; also has role in transcriptional silencing; localizes to cell surface via glycosylphosphatidylinositol (GPI) anchor, also found at nuclear periphery; genetic interactions with histone H3 lysine acetyltransferases GCN5 and SAS3 indicate functions for Gas1p in DNA damage response and cell cycle regulation; protein demonstrates amyloid properties in vivo",<a href='https://www.yeastgenome.org/locus/YMR307W' target='_blank'>YMR307W</a>
YMR308C,PSE1,KAP121,"Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins, including Pdr1p, Yap1p, Ste12p, and Aft1p; required for stability of the Dam1p-Duo1p complex",<a href='https://www.yeastgenome.org/locus/YMR308C' target='_blank'>YMR308C</a>
YMR309C,NIP1,translation initiation factor eIF3 core subunit c,eIF3c subunit of the eukaryotic translation initiation factor 3 (eIF3); involved in the assembly of preinitiation complex and start codon selection; eIF3 is also involved in programmed stop codon readthrough,<a href='https://www.yeastgenome.org/locus/YMR309C' target='_blank'>YMR309C</a>
YMR310C, ,putative methyltransferase,"Putative methyltransferase; predicted to be involved in ribosome biogenesis; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; not an essential gene; YMR310C has a paralog, YGR283C, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YMR310C' target='_blank'>YMR310C</a>
YMR311C,GLC8, ,Regulatory subunit of protein phosphatase 1 (Glc7p); involved in glycogen metabolism and chromosome segregation; proposed to regulate Glc7p activity via conformational alteration; ortholog of the mammalian protein phosphatase inhibitor 2; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YMR311C' target='_blank'>YMR311C</a>
YMR312W,ELP6,Elongator subunit ELP6|HAP3|KTI4|TOT6,Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex; which is required for modification of wobble nucleosides in tRNA; required for Elongator structural integrity,<a href='https://www.yeastgenome.org/locus/YMR312W' target='_blank'>YMR312W</a>
YMR313C,TGL3,bifunctional triglyceride lipase/lysophosphatidylethanolamine acyltransferase,"Bifunctional triacylglycerol lipase and LPE acyltransferase; major lipid particle-localized triacylglycerol (TAG) lipase; catalyzes acylation of lysophosphatidylethanolamine (LPE), a function which is essential for sporulation; protein level and stability of Tgl3p are markedly reduced in the absence of lipid droplets; required with Tgl4p for timely bud formation",<a href='https://www.yeastgenome.org/locus/YMR313C' target='_blank'>YMR313C</a>
YMR314W,PRE5,proteasome core particle subunit alpha 6,Alpha 6 subunit of the 20S proteasome; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YMR314W' target='_blank'>YMR314W</a>
YMR315W, , ,Protein with NADP(H) oxidoreductase activity; transcription is regulated by Stb5p in response to NADPH depletion induced by diamide; promoter contains a putative Stb5p binding site; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YMR315W' target='_blank'>YMR315W</a>
YMR315W-A, , ,Putative protein of unknown function,<a href='https://www.yeastgenome.org/locus/YMR315W-A' target='_blank'>YMR315W-A</a>
YMR316C-A, , ,Protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; mRNA identified as translated by ribosome profiling data; overlaps the verified gene DIA1/YMR316W,<a href='https://www.yeastgenome.org/locus/YMR316C-A' target='_blank'>YMR316C-A</a>
YMR316C-B, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps 5' end of ORF YMR317W",<a href='https://www.yeastgenome.org/locus/YMR316C-B' target='_blank'>YMR316C-B</a>
YMR316W,DIA1, ,Protein of unknown function; involved in invasive and pseudohyphal growth; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern,<a href='https://www.yeastgenome.org/locus/YMR316W' target='_blank'>YMR316W</a>
YMR317W, , ,Putative protein of unknown function; has some similarity to sialidase from Trypanosoma; YMR317W is not an essential gene,<a href='https://www.yeastgenome.org/locus/YMR317W' target='_blank'>YMR317W</a>
YMR318C,ADH6,ADHVI|NADP-dependent alcohol dehydrogenase,NADPH-dependent medium chain alcohol dehydrogenase; has broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YMR318C' target='_blank'>YMR318C</a>
YMR319C,FET4, ,Low-affinity Fe(II) transporter of the plasma membrane,<a href='https://www.yeastgenome.org/locus/YMR319C' target='_blank'>YMR319C</a>
YMR320W, , ,Putative protein of unknown function; conserved among S. cerevisiae strains; YMR320W is not an essential gene,<a href='https://www.yeastgenome.org/locus/YMR320W' target='_blank'>YMR320W</a>
YMR321C, , ,"Putative protein of unknown function; proposed to be a palmitoylated membrane protein; YMR321C has a paralog, SAM4, that arose from a single-locus duplication",<a href='https://www.yeastgenome.org/locus/YMR321C' target='_blank'>YMR321C</a>
YMR322C,SNO4,glutathione-independent methylglyoxalase family protein|HSP34,"Possible chaperone and cysteine protease; required for transcriptional reprogramming during the diauxic shift and for survival in stationary phase; similar to bacterial Hsp31 and yeast Hsp31p, Hsp32p, and Hsp33p; DJ-1/ThiJ/PfpI superfamily member; predicted involvement in pyridoxine metabolism; induced by mild heat stress and copper deprivation",<a href='https://www.yeastgenome.org/locus/YMR322C' target='_blank'>YMR322C</a>
YMR323W,ERR3,phosphopyruvate hydratase ERR3,"Enolase, a phosphopyruvate hydratase; catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate; complements the growth defect of an ENO1 ENO2 double mutant in glucose",<a href='https://www.yeastgenome.org/locus/YMR323W' target='_blank'>YMR323W</a>
YMR324C, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; transcription is AZF1 dependent in glycerol-lactate medium and SLT2 dependent in response to the lipid hydroperoxides",<a href='https://www.yeastgenome.org/locus/YMR324C' target='_blank'>YMR324C</a>
YMR325W,PAU19,seripauperin PAU19,Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions,<a href='https://www.yeastgenome.org/locus/YMR325W' target='_blank'>YMR325W</a>
YMR326C, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the telomere on the right arm of chromosome 13",<a href='https://www.yeastgenome.org/locus/YMR326C' target='_blank'>YMR326C</a>
YNL001W,DOM34,ribosome dissociation factor DOM34,"Protein that facilitates ribosomal subunit dissociation; Dom34-Hbs1 complex and Rli1p have roles in dissociating inactive ribosomes to facilitate translation restart, particularly ribosomes stalled in 3' UTRs; required for RNA cleavage in no-go decay, but reports conflict on endonuclease activity; Pelota ortholog; protein abundance increases in response to DNA replication stress; DOM34 has a paralog, YCL001W-B, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YNL001W' target='_blank'>YNL001W</a>
YNL002C,RLP7,RPL7,Nucleolar protein similar to large ribosomal subunit L7 proteins; constituent of 66S pre-ribosomal particles; plays an essential role in processing of precursors to the large ribosomal subunit RNAs; binds junction of ITS2 and ITS2-proximal stem between the 3' end of 5.8S rRNA and the 5' end of 25S rRNA,<a href='https://www.yeastgenome.org/locus/YNL002C' target='_blank'>YNL002C</a>
YNL003C,PET8,SAM5,S-adenosylmethionine transporter of the mitochondrial inner membrane; member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth,<a href='https://www.yeastgenome.org/locus/YNL003C' target='_blank'>YNL003C</a>
YNL004W,HRB1,mRNA-binding protein|TOM34,"Poly(A+) RNA-binding protein; key surveillance factor for the selective export of spliced mRNAs from the nucleus to the cytoplasm; preference for intron-containing genes; similar to Npl3p; HRB1 has a paralog, GBP2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YNL004W' target='_blank'>YNL004W</a>
YNL005C,MRP7,bL27m|mitochondrial 54S ribosomal protein YmL2|MRPL2|YmL2,Mitochondrial ribosomal protein of the large subunit; involved together with Mrpl35p in assembly of cytochrome c oxidase,<a href='https://www.yeastgenome.org/locus/YNL005C' target='_blank'>YNL005C</a>
YNL006W,LST8,TOR complex subunit LST8,Protein required for the transport of Gap1p; required for the transport of amino acid permease Gap1p from the Golgi to the cell surface; component of the TOR signaling pathway; associates with both Tor1p and Tor2p; contains a WD-repeat,<a href='https://www.yeastgenome.org/locus/YNL006W' target='_blank'>YNL006W</a>
YNL007C,SIS1,type II HSP40 co-chaperone SIS1,Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; shuttles between cytosol and nucleus; mediates delivery of misfolded proteins into the nucleus for degradation; involved in proteasomal degradation of misfolded cytosolic proteins; protein abundance increases in response to DNA replication stress; polyQ aggregates sequester Sis1p and interfere with clearance of misfolded proteins; similar to bacterial DnaJ proteins and mammalian DnaJB1,<a href='https://www.yeastgenome.org/locus/YNL007C' target='_blank'>YNL007C</a>
YNL008C,ASI3,putative ubiquitin-protein ligase ASI3,"Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi1p and Asi2p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p, maintaining the repressed state of gene expression in the absence of inducing amino acids",<a href='https://www.yeastgenome.org/locus/YNL008C' target='_blank'>YNL008C</a>
YNL009W,IDP3,isocitrate dehydrogenase (NADP(+)) IDP3,"Peroxisomal NADP-dependent isocitrate dehydrogenase; catalyzes oxidation of isocitrate to alpha-ketoglutarate with the formation of NADP(H+), required for growth on unsaturated fatty acids; IDP3 has a paralog, IDP2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YNL009W' target='_blank'>YNL009W</a>
YNL010W,PYP1,putative phosphoric monoester hydrolase,"Sugar alcohol phosphatase; polyol phosphatase that hydrolyzes sorbitol-6-phosphate, ribitol-5-phosphate, and (D)-glycerol-3-phosphate, maintaining phosphoglucose isomerase (PGI) activity in the presence of PGI-inhibitory sugar alcohols; expression correlated with growth rate; GFP-fusion protein localizes to the cytoplasm and nucleus; homozygous diploid mutant displays increased glycogen accumulation; member of the haloacid dehalogenase (HAD) superfamily ",<a href='https://www.yeastgenome.org/locus/YNL010W' target='_blank'>YNL010W</a>
YNL011C, , ,Putative protein of unknown function; YNL011C is not an essential gene,<a href='https://www.yeastgenome.org/locus/YNL011C' target='_blank'>YNL011C</a>
YNL012W,SPO1,putative carboxylic ester hydrolase,Meiosis-specific prospore protein; required for meiotic spindle pole body duplication and separation; required to produce bending force necessary for proper prospore membrane assembly during sporulation; has similarity to phospholipase B,<a href='https://www.yeastgenome.org/locus/YNL012W' target='_blank'>YNL012W</a>
YNL013C, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF HEF3/YNL014W",<a href='https://www.yeastgenome.org/locus/YNL013C' target='_blank'>YNL013C</a>
YNL014W,HEF3,translation elongation factor EF-3|ZRG7,"Translational elongation factor EF-3; member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells; HEF3 has a paralog, YEF3, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YNL014W' target='_blank'>YNL014W</a>
YNL015W,PBI2,I2B|IB2|LMA1,"Cytosolic inhibitor of vacuolar proteinase B (PRB1); required for efficient vacuole inheritance; with thioredoxin forms protein complex LMA1, which assists in priming SNARE molecules and promotes vacuole fusion; protein abundance increases in response to DNA replication stress",<a href='https://www.yeastgenome.org/locus/YNL015W' target='_blank'>YNL015W</a>
YNL016W,PUB1,RNP1,"Poly (A)+ RNA-binding protein; abundant mRNP-component protein that binds mRNA and is required for stability of many mRNAs; component of glucose deprivation induced stress granules, involved in P-body-dependent granule assembly; implicated in regulation of translation; carries Q/N-rich domain at C- terminus, identified as candidate prion; ribosome-bound Pub1p modulates stop codon decoding during translation termination",<a href='https://www.yeastgenome.org/locus/YNL016W' target='_blank'>YNL016W</a>
YNL017C, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the tRNA ORF tI(AAU)N2",<a href='https://www.yeastgenome.org/locus/YNL017C' target='_blank'>YNL017C</a>
YNL018C, , ,"Putative protein of unknown function; YNL018C has a paralog, YNL034W, that arose from a segmental duplication",<a href='https://www.yeastgenome.org/locus/YNL018C' target='_blank'>YNL018C</a>
YNL019C, , ,"Putative protein of unknown function; expression induced during heat stress; YNL019C has a paralog, YNL033W, that arose from a segmental duplication",<a href='https://www.yeastgenome.org/locus/YNL019C' target='_blank'>YNL019C</a>
YNL020C,ARK1,serine/threonine protein kinase ARK1,"Ser/Thr protein kinase; phosphorylates Pan1p-Sla1p-End3p protein complex subunits, Pan1p and Sla1p; involved in regulation of the cortical actin cytoskeleton and endocytosis; functional overlap with PRK1",<a href='https://www.yeastgenome.org/locus/YNL020C' target='_blank'>YNL020C</a>
YNL021W,HDA1,histone deacetylase HDA1,"Catalytic subunit of class II HDA1 histone deacetylase complex; role in azole resistance via Hsp90p, and in heat shock response; Hda1p interacts with Hda2p-Hda3p subcomplex to form an active tetramer; deletion increases histone H2B, H3 and H4 acetylation; the HDA1 histone deacetylase complex regulates aging through trehalose metabolism",<a href='https://www.yeastgenome.org/locus/YNL021W' target='_blank'>YNL021W</a>
YNL022C,RCM1,rRNA (cytosine-C5-)-methyltransferase RCM1,"rRNA m5C methyltransferase; methylates cytosine at position 2278 of 25S rRNA while Nop2p methylates cytosine at position 2870; contains seven beta-strand methyltransferase motif; localized to the nucleolus; interacts with Trm112p; homolog of NSUN5A, a human gene which is deleted in Williams-Beuren Syndrome",<a href='https://www.yeastgenome.org/locus/YNL022C' target='_blank'>YNL022C</a>
YNL023C,FAP1, ,Protein that binds to Fpr1p; confers rapamycin resistance by competing with rapamycin for Fpr1p binding; accumulates in the nucleus upon treatment of cells with rapamycin; has similarity to D. melanogaster shuttle craft and human NFX1,<a href='https://www.yeastgenome.org/locus/YNL023C' target='_blank'>YNL023C</a>
YNL024C,EFM6,putative protein-lysine N-methyltransferase,Putative S-adenosylmethionine-dependent lysine methyltransferase; responsible for modifying Lys-390 in translational elongation factor EF-1 alpha (eEF1A); has seven beta-strand methyltransferase motif; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,<a href='https://www.yeastgenome.org/locus/YNL024C' target='_blank'>YNL024C</a>
YNL024C-A,KSH1, ,Essential protein suggested to function early in the secretory pathway; inviability is suppressed by overexpression of Golgi protein Tvp23p; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and cytosol respectively; ortholog of human Kish,<a href='https://www.yeastgenome.org/locus/YNL024C-A' target='_blank'>YNL024C-A</a>
YNL025C,SSN8,CNC1|CycC|cyclin-dependent protein serine/threonine kinase regulator SSN8|GIG3|NUT9|RYE2|SRB11|UME3,"Cyclin-like component of RNA polymerase II holoenzyme; involved in phosphorylation of RNAPII C-terminal domain; forms kinase-cyclin pair in RNAPII holoenzyme with Ssn3p; needed for entry into and execution of meiotic program; involved in glucose repression, telomere maintenance; degraded in response to nitrogen starvation, and also to oxidative stress, but in different cellular compartments, and with different cellular outcomes; 35% identical to human cyclin C",<a href='https://www.yeastgenome.org/locus/YNL025C' target='_blank'>YNL025C</a>
YNL026W,SAM50,OMP85|SAM complex subunit SAM50|TOB55,Component of the Sorting and Assembly Machinery (SAM) complex; the SAM (or TOB) complex is located in the mitochondrial outer membrane; the complex binds precursors of beta-barrel proteins and facilitates their outer membrane insertion; homologous to bacterial Omp85,<a href='https://www.yeastgenome.org/locus/YNL026W' target='_blank'>YNL026W</a>
YNL027W,CRZ1,DNA-binding transcription factor CRZ1|HAL8|TCN1,"Transcription factor, activates transcription of stress response genes; nuclear localization is positively regulated by calcineurin-mediated dephosphorylation; rapidly localizes to the nucleus under blue light stress; can be activated in stochastic pulses of nuclear localization in response to calcium",<a href='https://www.yeastgenome.org/locus/YNL027W' target='_blank'>YNL027W</a>
YNL028W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/YNL028W' target='_blank'>YNL028W</a>
YNL029C,KTR5,putative mannosyltransferase,"Putative mannosyltransferase involved in protein glycosylation; member of the KRE2/MNT1 mannosyltransferase family; KTR5 has a paralog, KTR7, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YNL029C' target='_blank'>YNL029C</a>
YNL030W,HHF2,histone H4,Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF1); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity,<a href='https://www.yeastgenome.org/locus/YNL030W' target='_blank'>YNL030W</a>
YNL031C,HHT2,histone H3,"Histone H3; core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT1); regulated by acetylation, methylation, and phosphorylation; H3K14 acetylation plays an important role in the unfolding of strongly positioned nucleosomes during repair of UV damage",<a href='https://www.yeastgenome.org/locus/YNL031C' target='_blank'>YNL031C</a>
YNL032W,SIW14,OCA3|putative tyrosine protein phosphatase SIW14,"Inositol phosphatase involved in inositol pyrophosphate metabolism; hydrolyzes the beta-phosphate from the 5-diphosphate group of PP-InsPs including: 5PP-IP5 (IP7), 1,5PP-IP4 (IP8) and 5-PP-InsP4; functions as an anti-prion (anti-[PSI]) component; member of the atypical dual-specificity subgroup of the protein tyrosine-phosphatase (PTP) superfamily; localizes to the cytoplasm",<a href='https://www.yeastgenome.org/locus/YNL032W' target='_blank'>YNL032W</a>
YNL033W, , ,"Putative protein of unknown function; YNL033W has a paralog, YNL019C, that arose from a segmental duplication",<a href='https://www.yeastgenome.org/locus/YNL033W' target='_blank'>YNL033W</a>
YNL034W, , ,"Putative protein of unknown function; not an essential gene; YNL034W has a paralog, YNL018C, that arose from a segmental duplication",<a href='https://www.yeastgenome.org/locus/YNL034W' target='_blank'>YNL034W</a>
YNL035C, , ,Nuclear protein of unknown function; relocalizes to the cytosol in response to hypoxia; contains WD-40 domains; not an essential gene; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YNL035C' target='_blank'>YNL035C</a>
YNL036W,NCE103,carbonate dehydratase NCE103|NCE3,"Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress",<a href='https://www.yeastgenome.org/locus/YNL036W' target='_blank'>YNL036W</a>
YNL037C,IDH1,isocitrate dehydrogenase (NAD(+)) IDH1,Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle,<a href='https://www.yeastgenome.org/locus/YNL037C' target='_blank'>YNL037C</a>
YNL038W,GPI15,phosphatidylinositol N-acetylglucosaminyltransferase GPI15,Protein involved in the synthesis of GlcNAc-PI; GlcNAc-PI is the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; homologous to the human PIG-H protein; GlcNAc-PI stands for N-acetylglucosaminyl phosphatidylinositol,<a href='https://www.yeastgenome.org/locus/YNL038W' target='_blank'>YNL038W</a>
YNL039W,BDP1,"B""|TFC5|TFC7|TFIIIB90|transcription factor TFIIIB subunit BDP1","Essential subunit of RNA polymerase III transcription factor (TFIIIB); TFIIIB is involved in transcription of genes encoding tRNAs, 5S rRNA, U6 snRNA, and other small RNAs",<a href='https://www.yeastgenome.org/locus/YNL039W' target='_blank'>YNL039W</a>
YNL040W, ,putative alanine--tRNA ligase,Protein of unknown function; has strong similarity to alanyl-tRNA synthases from Eubacteria; null mutant displays decreased translation rate and increased readthrough of premature stop codons; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YNL040W is not an essential gene,<a href='https://www.yeastgenome.org/locus/YNL040W' target='_blank'>YNL040W</a>
